latitude,longitude,Year,risk_score
14.72422,77.4306738,2013,449
13.2026484,79.0032253,2013,177
14.4956602,78.8349278,2013,387
16.9956639,81.7154378,2013,459
16.2915189,80.4541588,2013,388
17.7041832,83.2974867,2013,186
17.0758891,81.3376268,2013,458
16.2129438,81.0283082,2013,482
15.8309251,78.0425373,2013,450
14.4493717,79.9873763,2013,370
18.3015062,84.0232082,2013,224
16.5014312,80.6031619,2013,394
17.0050454,81.7804732,2013,85
13.1005818,79.1255137,2013,131
18.2949307,83.8938844,2013,272
13.6269132,79.3866894,2013,70
16.5115306,80.6160469,2013,342
17.8147685,83.3649326,2013,194
17.6935526,83.2921297,2013,266
18.1141255,83.4114389,2013,232
16.6443029,81.5885247,2013,551
28.1114301,96.8269996,2013,0
27.272007,96.065526,2013,12
28.8291044,95.9554096,2013,3
27.557781,92.9673843,2013,20
27.3386269,92.4333662,2013,2
28.0350161,96.1713515,2013,42
26.8794546,95.3155652,2013,5
27.2863666,93.6187716,2013,64
28.7929298,95.8958848,2013,13
28.0742219,95.4178149,2013,18
28.7312046,95.0377315,2013,6
28.1970922,94.48407,2013,22
27.5326327,93.7823245,2013,8
28.2596054,94.0938106,2013,20
27.6741942,91.9362059,2013,9
27.030169,95.4979175,2013,7
28.8291044,95.9554096,2013,1
26.6275689,91.3388551,2013,75
26.345941,91.039708,2013,837
26.4800126,90.5580387,2013,167
53.3740365,-6.1416448,2013,0
24.75864,92.8816648,2013,325
26.6464231,90.624157,2013,101
26.4373481,92.0047145,2013,476
27.5945155,94.7192098,2013,189
26.132275,90.1249962,2013,992
27.4844597,94.9019447,2013,324
26.0491877,90.6001859,2013,265
26.5108262,93.9743686,2013,342
26.1805978,91.753943,2013,742
24.6846916,92.5645836,2013,138
25.8449919,92.5748777,2013,23
26.7577925,94.2079645,2013,356
26.146886,91.2227397,2013,306
26.0,93.5,2013,67
24.5828195,92.3725486,2013,161
26.4912103,90.1215209,2013,143
27.1763356,94.1992932,2013,237
26.248606,92.3387945,2013,244
26.3313646,92.7524763,2013,731
26.3533631,91.3983662,2013,218
26.9834936,94.6394226,2013,292
26.7677707,92.7014089,2013,338
27.4879722,95.3601855,2013,312
26.7047237,92.0421507,2013,120
26.2651013,87.3699437,2013,152
25.1812831,84.6596648,2013,41
24.80332,84.4110198,2013,108
27.0590111,84.2064638,2013,96
24.8328273,86.8161114,2013,103
25.5125411,86.0883392,2013,204
26.7910727,84.5601068,2013,193
25.2861354,87.1304229,2013,214
25.4501182,84.5635193,2013,119
25.5044834,84.1097525,2013,108
26.0829899,86.0324951,2013,238
24.679389,85.0115833,2013,220
26.4211166,84.3739133,2013,96
24.7562513,86.3011128,2013,63
25.1529578,85.0065043,2013,45
25.5586421,87.6457196,2013,235
25.4930513,86.6982264,2013,72
26.2984144,87.9466715,2013,142
25.1543938,86.1744959,2013,35
25.7806118,86.9364753,2013,87
26.3503076,86.2296424,2013,179
